Type,Arrest,NonArrest,Year
ASSAULT,1616,23741,2002
ASSAULT,1381,25221,2009
ASSAULT,641,13588,2016
ASSAULT,1565,23310,2003
ASSAULT,1343,24918,2010
ASSAULT,543,12366,2017
ASSAULT,1342,22966,2004
ASSAULT,1230,25210,2011
ASSAULT,48,1671,2018
ASSAULT,1376,23870,2005
ASSAULT,1253,21413,2012
ASSAULT,1528,22599,2006
ASSAULT,1065,16669,2013
ASSAULT,1509,23164,2007
ASSAULT,867,13574,2014
ASSAULT,1645,24095,2001
ASSAULT,1524,24523,2008
ASSAULT,687,12411,2015
