Type,Arrest,NonArrest,Year
BATTERY,81,725,2002
BATTERY,29,256,2009
BATTERY,11,185,2016
BATTERY,64,619,2003
BATTERY,27,279,2010
BATTERY,17,161,2017
BATTERY,57,412,2004
BATTERY,30,225,2011
BATTERY,54,30,2005
BATTERY,21,327,2012
BATTERY,53,210,2006
BATTERY,33,273,2013
BATTERY,29,201,2007
BATTERY,17,283,2014
BATTERY,136,198,2001
BATTERY,38,781,2008
BATTERY,15,308,2015
