Type,Arrest,NonArrest,Year
ARSON,20042,69006,2002
ARSON,15077,49921,2009
ARSON,9783,38545,2016
ARSON,19037,63962,2003
ARSON,13167,48792,2010
ARSON,9493,37729,2017
ARSON,19149,62370,2004
ARSON,13168,44426,2011
ARSON,1457,5539,2018
ARSON,18311,60154,2005
ARSON,12264,44262,2012
ARSON,17511,58272,2006
ARSON,12100,39186,2013
ARSON,18037,57150,2007
ARSON,11776,35484,2014
ARSON,19463,69400,2001
ARSON,14258,57702,2008
ARSON,10935,36022,2015
