Type,Arrest,NonArrest,Year
BURGLARY ,13603,82614,2002
BURGLARY,9737,68882,2009
BURGLARY,6435,54168,2016
BURGLARY,12794,83756,2003
BURGLARY,7703,66814,2010
BURGLARY,6348,56979,2017
BURGLARY,11996,81241,2004
BURGLARY,8298,64615,2011
BURGLARY,972,8037,2018
BURGLARY,11229,72149,2005
BURGLARY,8109,65319,2012
BURGLARY,9989,74132,2006
BURGLARY,7572,61690,2013
BURGLARY,9681,73322,2007
BURGLARY,7234,52578,2014
BURGLARY,15420,81738,2001
BURGLARY,9159,76891,2008
BURGLARY,6656,49442,2015
